mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Forest Hills,place-forhl,70602,0,60,1177,0,1177,320
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Alewife,place-alfcl,17455,0,49,356,0,356,1169
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Ashmont,place-asmnl,34473,0,10,3447,0,3447,908
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,134,39947,75,2,533,117,87
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Savin Hill,place-shmnl,9403,1848,10,940,185,6456,937
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Forest Hills,place-forhl,0,7771,60,0,130,0,459
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_02,Saturday,time_period_10,OFF_PEAK,Charles/MGH,place-chmnl,15789,21240,10,1579,2124,20976,1051
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Downtown Crossing,place-dwnxg,38395,102054,60,640,1701,5039,679
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Malden Center,place-mlmnl,1271,143540,60,21,2392,1825,324
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Haymarket,place-haecl,3918,31289,60,65,521,2113,362
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Wonderland,place-wondl,0,126065,75,0,1681,0,221
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Jackson Square,place-jaksn,5571,12620,60,93,210,656,683
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Central,place-cntsq,14401,5091,49,294,104,995,957
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Quincy Adams,place-qamnl,22220,182,49,453,4,1041,715
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_08,LATE_EVENING,Suffolk Downs,place-sdmnl,334,5370,75,4,72,1318,244
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Beachmont,place-bmmnl,49930,4740,75,666,63,2513,171
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Massachusetts Avenue,place-masta,1753,1397,60,29,23,419,275
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Back Bay,place-bbsta,8939,110557,60,149,1843,2072,676
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_07,EVENING,Savin Hill,place-shmnl,4414,1939,49,90,40,750,860
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Oak Grove,place-ogmnl,25224,0,60,420,0,420,667
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Downtown Crossing,place-dwnxg,4638,2707,49,95,55,376,998
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Back Bay,place-bbsta,2646,3672,60,44,61,380,266
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_07,EVENING,Park Street,place-pktrm,99919,57404,49,2039,1172,4284,851
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_06,PM_PEAK,Revere Beach,place-rbmnl,25331,1158,75,338,15,871,200
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Porter,place-portr,3540,36214,10,354,3621,8417,931
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Oak Grove,place-ogmnl,0,1796,60,0,30,0,297
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Roxbury Crossing,place-rcmnl,29316,20619,60,489,344,4564,368
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Roxbury Crossing,place-rcmnl,796,6317,60,13,105,223,668
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Airport,place-aport,106701,22741,75,1423,303,4985,169
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_07,EVENING,Massachusetts Avenue,place-masta,20718,9061,60,345,151,2329,345
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Ruggles,place-rugg,7022,12102,60,117,202,1152,448
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,time_period_10,OFF_PEAK,Airport,place-aport,24257,62560,16,1516,3910,12214,59
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Sullivan Square,place-sull,17985,3700,60,300,62,1497,672
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Sullivan Square,place-sull,14831,55958,60,247,933,6168,332
