Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-10-05,568578,NB,Orange Line,Orange Line,OL NB,NB Stony Brook to Jackson Sq.,place-sbmnl | place-jaksn,Between Stations,OLNB-06,Active Restriction,2023-08-10,,25 mph,Track,600.0,0.1136363636363636,0.005041542308623,22.54,0.0008329890312004372,136.42,Single Segment,Start|End,422,,1,0,0,0,0,1
2024-03-05,000062L,NB,Orange Line,Orange Line,OL NB,NB Community College,place-ccmnl,Station,OLNB-29,Active Restriction,2024-03-01,,25 mph,Track,50.99999999999909,0.0096590909090907,0.0004285310962329519,22.54,7.08040676520359e-05,136.42,Multi-Segment,Start,4,,1,0,0,0,0,1
2024-06-10,571150,SB,Orange Line,Orange Line,OL SB,SB Sullivan Station,place-sull,Station,OLSB-09,Active Restriction,2023-08-23,,10 mph,Track,400.0,0.0757575757575757,0.0033610282057487,22.54,0.0005553260208002915,136.42,Single Segment,Start|End,292,,1,0,0,0,0,1
2024-04-08,548597,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Griggs St Station,place-grigg,Station,GBEB-17,Active Restriction,2023-06-08,,6 mph,Track,302.9999999999987,0.0573863636363633,0.0010629072723905,53.99,0.00042065946075621897,136.42,Multi-Segment,Start,305,,1,0,0,0,0,1
2024-01-21,523870,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Broadway to Andrew,place-brdwy | place-andrw,Between Stations,RBSB-22,Active Restriction,2023-03-09,,25 mph,Track,100.0,0.0189393939393939,0.0003994809942922156,47.41,0.00013883150520007287,136.42,Single Segment,Start|End,318,,1,0,0,0,0,1
2024-02-01,549345,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Warren St Station,place-wrnst,Station,GBWB-21,Active Restriction,2023-06-14,,6 mph,Track,208.00000000000125,0.0393939393939396,0.0007296525170205526,53.99,0.0002887695308161533,136.42,Multi-Segment,Midpoint,232,,0,0,0,0,0,0
2024-02-11,526522,SB,Orange Line,Orange Line,OL SB,SB Oak Grove to Malden,place-ogmnl | place-mlmnl,Between Stations,OLSB-02,Active Restriction,2023-03-20,,10 mph,Track,200.0,0.0378787878787878,0.0016805141028743,22.54,0.00027766301040014574,136.42,Single Segment,Start|End,328,,1,0,0,0,0,1
2024-06-30,565480,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Andrew to JFK,place-andrw | place-jfk,Between Stations,RBSB-24,Active Restriction,2023-08-01,,10 mph,Track,412.99999999999955,0.0782196969696968,0.0016498565064268,47.41,0.0005733741164763004,136.42,Multi-Segment,Start,334,,1,0,0,0,1,1
2024-04-24,532638,WB,Blue Line,Blue Line,BL WB,WB Beachmont to Suffolk Downs,place-bmmnl | place-sdmnl,Between Stations,BLWB-06,Active Restriction,2023-04-08,,25 mph,Track,500.0,0.0946969696969697,0.0075878982128982,12.48,0.0006941575260003644,136.42,Multi-Segment,End,382,,0,0,0,0,0,0
2024-02-28,552291,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Quincy Adams to Braintree,place-qamnl | place-brntn,Between Stations,RBSB-34,Active Restriction,2023-06-28,,10 mph,Track,600.0,0.1136363636363636,0.0023968859657532,47.41,0.0008329890312004372,136.42,Single Segment,Start|End,245,,1,0,0,0,0,1
2024-09-13,552291,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Quincy Adams to Braintree,place-qamnl | place-brntn,Between Stations,RBSB-34,Active Restriction,2023-06-28,,10 mph,Track,600.0,0.1136363636363636,0.0023968859657532,47.41,0.0008329890312004372,136.42,Single Segment,Start|End,443,,1,0,0,0,0,1
2024-02-27,548597,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Griggs St Station,place-grigg,Station,GBEB-17,Active Restriction,2023-06-08,,6 mph,Track,302.9999999999987,0.0573863636363633,0.0010629072723905,53.99,0.00042065946075621897,136.42,Multi-Segment,Start,264,,1,0,0,0,0,1
2024-02-18,000048L,NB,Orange Line,Orange Line,OL NB,NB Stony Brook Station,place-sbmnl,Station,OLNB-05,Active Restriction,2023-10-20,,10 mph,Track,400.0,0.0757575757575757,0.0033610282057487,22.54,0.0005553260208002915,136.42,Multi-Segment,Start,121,,1,0,0,0,0,1
2024-10-16,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Chestnut Hill Ave Station,place-chill,Station,GBEB-05,Active Restriction,2024-10-09,,3 mph,Track,236.9999999999976,0.0448863636363631,0.0008313829160282122,53.99,0.0003290306673241694,136.42,Multi-Segment,End,7,,0,0,0,0,0,0
2024-08-06,508520,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB JFK Station (Braintree),place-jfk,Station,RBNB-11,Active Restriction,2023-01-13,,10 mph,Track,86.00000000000136,0.016287878787879,0.0003435536550913108,47.41,0.00011939509447206456,136.42,Multi-Segment,Start,571,,1,0,0,0,0,1
2024-03-27,000024B,WB,Blue Line,Blue Line,BL WB,WB Govt Ctr. to Bowdoin,place-gover | place-bomnl,Between Stations,BLWB-22,Active Restriction,2024-02-15,,10 mph,Track,499.0000000000002,0.0945075757575758,0.0075727224164724,12.48,0.000692769210948364,136.42,Multi-Segment,Midpoint,41,,0,0,0,0,0,0
2024-03-01,524229,EB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. EB,EB St. Mary's St to Kenmore,place-smary | place-kencl,Between Stations,GCEB-26,Active Restriction,2023-03-10,,6 mph,Track,344.0000000000001,0.0651515151515151,0.0012067330089185,53.99,0.0004775803778882508,136.42,Single Segment,Start|End,357,,1,1,0,0,0,1
2024-02-21,567810,WB,Blue Line,Blue Line,BL WB,WB Orient Heights to Wood I,place-orhte | place-wimnl,Between Stations,BLWB-10,Active Restriction,2023-08-07,,25 mph,Track,500.0,0.0946969696969697,0.0075878982128982,12.48,0.0006941575260003644,136.42,Single Segment,Start|End,198,,1,0,0,0,0,1
2024-02-29,528761,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Blandford St to BU East,place-bland | place-buest,Between Stations,GBWB-04,Active Restriction,2023-03-30,,6 mph,Track,219.0000000000001,0.0414772727272727,0.0007682399097475968,53.99,0.00030404099638815975,136.42,Multi-Segment,Start,336,,1,0,0,0,1,1
2024-03-02,000115R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Broadway Station,place-brdwy,Station,RBNB-15,Active Restriction,2024-01-23,,25 mph,Track,400.9999999999991,0.0759469696969695,0.0016019187871117,47.41,0.000556714335852291,136.42,Multi-Segment,End,39,,0,0,0,0,0,0
2024-03-15,567513,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2023-08-04,,10 mph,Track,900.0,0.1704545454545454,0.0035953289486299,47.41,0.0012494835468006,136.42,Single Segment,Start|End,224,,1,0,0,0,0,1
2024-07-15,555806,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Central to Kendall,place-cntsq | place-knncl,Between Stations,RBSB-10,Active Restriction,2023-07-11,,25 mph,Track,1100.0,0.2083333333333333,0.0043942909372143,47.41,0.0015271465572008,136.42,Single Segment,Start|End,370,,1,0,0,0,0,1
