service_date,route_id,trip_id,direction_id,direction,from_parent_station,from_stop_id,from_stop_name,to_parent_station,to_stop_id,to_stop_name,from_stop_departure_datetime,from_stop_departure_sec,to_stop_arrival_datetime,to_stop_arrival_sec,travel_time_sec
2024-01-22,Red,ADDED-1581761778,1,North,place-cntsq,70070,Central,place-davis,70064,Davis,2024-01-22T08:41:29Z,31289,2024-01-22T08:51:49Z,31909,620
2024-12-01,Red,ADDED-1582160534,0,South,place-alfcl,Alewife-01,Alewife,place-pktrm,70075,Park Street,2024-12-01T13:22:05Z,48125,2024-12-01T13:39:02Z,49142,1017
2024-01-06,Orange,59669274,0,South,place-mlmnl,70034,Malden Center,place-north,70026,North Station,2024-01-06T20:10:13Z,72613,2024-01-06T20:23:31Z,73411,798
2024-05-20,Orange,ADDED-1581911599,0,South,place-sull,70030,Sullivan Square,place-jaksn,70006,Jackson Square,2024-05-20T11:01:56Z,39716,2024-05-20T11:27:39Z,41259,1543
2024-02-27,Orange,60455438,0,South,place-ogmnl,70036,Oak Grove,place-sbmnl,70004,Stony Brook,2024-02-27T16:18:21Z,58701,2024-02-27T17:02:58Z,61378,2677
2024-09-17,Red,65190065,0,South,place-davis,70063,Davis,place-andrw,70083,Andrew,2024-09-17T13:29:41Z,48581,2024-09-17T13:53:29Z,50009,1428
2024-09-15,Orange,NONREV-1580596307,0,South,place-astao,70278,Assembly,place-chncl,70018,Chinatown,2024-09-15T06:33:43Z,23623,2024-09-15T06:45:54Z,24354,731
2024-02-07,Blue,59736760,0,West,place-wondl,70059,Wonderland,place-bomnl,70838,Bowdoin,2024-02-07T20:12:51Z,72771,2024-02-07T20:30:58Z,73858,1087
2024-02-05,Red,ADDED-1581776616,1,North,place-qamnl,70104,Quincy Adams,place-sstat,70080,South Station,2024-02-05T19:57:04Z,71824,2024-02-05T20:42:26Z,74546,2722
2024-08-07,Red,63288306,1,North,place-brdwy,70082,Broadway,place-davis,70064,Davis,2024-08-07T08:06:58Z,29218,2024-08-07T08:31:21Z,30681,1463
2024-04-28,Blue,ADDED-1581871978,0,West,place-gover,70039,Government Center,place-bomnl,70838,Bowdoin,2024-04-28T13:52:49Z,49969,2024-04-28T13:53:26Z,50006,37
2024-03-27,Blue,59736602,1,East,place-gover,70040,Government Center,place-state,70042,State,2024-03-27T17:48:23Z,64103,2024-03-27T17:48:57Z,64137,34
2024-01-18,Blue,59736640,0,West,place-bmmnl,70055,Beachmont,place-orhte,70051,Orient Heights,2024-01-18T08:35:36Z,30936,2024-01-18T08:37:47Z,31067,131
2024-12-06,Red,ADDED-1582166221,0,South,place-portr,70065,Porter,place-qamnl,70103,Quincy Adams,2024-12-06T17:49:13Z,64153,2024-12-06T18:29:11Z,66551,2398
2024-03-17,Orange,59668966,0,South,place-ogmnl,70036,Oak Grove,place-grnst,70002,Green Street,2024-03-17T21:10:34Z,76234,2024-03-17T21:49:29Z,78569,2335
2024-05-01,Orange,61512394,1,North,place-masta,70013,Massachusetts Avenue,place-tumnl,70017,Tufts Medical Center,2024-05-01T07:11:30Z,25890,2024-05-01T07:14:54Z,26094,204
2024-12-07,Orange,64166243,0,South,place-mlmnl,70034,Malden Center,place-forhl,70001,Forest Hills,2024-12-07T23:25:43Z,84343,2024-12-07T23:59:34Z,86374,2031
2024-12-04,Red,ADDED-1582164139,1,North,place-nqncy,70098,North Quincy,place-andrw,70084,Andrew,2024-12-04T18:31:45Z,66705,2024-12-04T18:39:51Z,67191,486
2024-06-17,Red,63288347,1,North,place-cntsq,70070,Central,place-harsq,70068,Harvard,2024-06-17T17:42:18Z,63738,2024-06-17T17:48:01Z,64081,343
2024-09-20,Red,ADDED-1582070109,0,South,place-sstat,70079,South Station,place-shmnl,70087,Savin Hill,2024-09-20T23:40:53Z,85253,2024-09-20T23:49:31Z,85771,518
